,SensorMeasure1,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure5,SensorMeasure6,SensorMeasure7,SensorMeasure8,SensorMeasure9,SensorMeasure10,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure14,SensorMeasure15,SensorMeasure16,SensorMeasure17,SensorMeasure18,SensorMeasure19,SensorMeasure20,SensorMeasure21
153,518.67,642.93,1590.99,1411.34,14.62,21.61,552.58,2388.13,9053.8,1.3,47.61,521.61,2388.14,8137.22,8.4075,0.03,394,2388,100.0,38.62,23.1563
174,518.67,642.62,1600.16,1408.85,14.62,21.61,552.9,2388.14,9058.95,1.3,47.68,520.81,2388.18,8133.11,8.4784,0.03,394,2388,100.0,38.76,23.2613
177,518.67,643.76,1592.56,1415.14,14.62,21.61,552.12,2388.16,9055.17,1.3,47.89,520.13,2388.23,8136.72,8.5012,0.03,394,2388,100.0,38.85,23.1863
210,518.67,643.97,1597.91,1427.66,14.62,21.61,552.33,2388.23,9057.69,1.3,48.04,520.08,2388.26,8134.63,8.4804,0.03,395,2388,100.0,38.5,23.044
220,518.67,643.88,1593.26,1425.82,14.62,21.61,551.14,2388.22,9069.36,1.3,48.17,520.04,2388.28,8139.03,8.5363,0.03,394,2388,100.0,38.67,23.0218
223,518.67,641.59,1578.61,1401.71,14.62,21.61,554.17,2387.96,9056.88,1.3,47.01,522.44,2387.98,8135.46,8.4292,0.03,392,2388,100.0,39.0,23.4589
246,518.67,641.75,1582.11,1393.02,14.62,21.61,554.12,2388.01,9059.18,1.3,47.14,523.01,2388.04,8138.14,8.3945,0.03,390,2388,100.0,39.03,23.3532
254,518.67,642.77,1580.21,1399.65,14.62,21.61,554.19,2387.99,9051.3,1.3,47.23,522.22,2388.01,8137.17,8.3881,0.03,390,2388,100.0,39.07,23.3877
257,518.67,641.97,1583.85,1394.74,14.62,21.61,554.67,2388.01,9052.46,1.3,47.24,522.02,2387.99,8135.53,8.4155,0.03,393,2388,100.0,39.06,23.4353
260,518.67,642.25,1584.85,1395.66,14.62,21.61,554.22,2388.02,9045.9,1.3,47.19,522.8,2388.01,8137.62,8.3928,0.03,393,2388,100.0,39.13,23.4079
274,518.67,641.61,1581.83,1397.34,14.62,21.61,554.91,2388.04,9057.05,1.3,47.17,522.67,2387.99,8142.04,8.4075,0.03,392,2388,100.0,39.19,23.452
276,518.67,642.33,1583.16,1399.72,14.62,21.61,554.44,2388.04,9056.53,1.3,47.12,522.63,2388.0,8133.74,8.4097,0.03,393,2388,100.0,39.11,23.3845
280,518.67,642.29,1589.25,1400.66,14.62,21.61,554.26,2388.02,9057.47,1.3,47.32,522.03,2388.05,8132.28,8.4135,0.03,394,2388,100.0,39.02,23.2877
283,518.67,642.29,1589.22,1405.11,14.62,21.6,553.96,2388.0,9057.85,1.3,47.29,522.76,2387.99,8137.38,8.3894,0.03,392,2388,100.0,39.03,23.3503
286,518.67,641.88,1577.41,1397.34,14.62,21.61,554.75,2388.01,9059.94,1.3,47.46,521.87,2388.04,8141.68,8.384,0.03,392,2388,100.0,39.13,23.3762
291,518.67,642.05,1589.07,1405.68,14.62,21.61,553.94,2388.07,9051.13,1.3,47.19,522.34,2388.08,8142.7,8.3845,0.03,392,2388,100.0,38.9,23.4191
293,518.67,642.19,1583.94,1396.84,14.62,21.61,554.26,2388.05,9050.15,1.3,47.36,521.64,2388.03,8137.74,8.3995,0.03,393,2388,100.0,38.98,23.4207
295,518.67,641.85,1588.94,1405.94,14.62,21.61,554.04,2388.04,9053.44,1.3,47.36,521.55,2388.02,8132.07,8.3692,0.03,393,2388,100.0,38.78,23.3506
300,518.67,642.84,1585.87,1397.56,14.62,21.61,554.27,2388.06,9052.68,1.3,47.32,522.06,2388.1,8138.28,8.4063,0.03,392,2388,100.0,38.95,23.3909
313,518.67,642.48,1587.45,1399.09,14.62,21.61,554.1,2388.05,9052.53,1.3,47.42,522.08,2388.06,8139.19,8.4073,0.03,391,2388,100.0,38.94,23.3361
314,518.67,642.26,1581.7,1398.59,14.62,21.61,554.08,2388.03,9045.82,1.3,47.44,522.46,2388.03,8130.71,8.4421,0.03,392,2388,100.0,38.96,23.3241
315,518.67,642.45,1583.47,1403.4,14.62,21.61,553.91,2388.06,9050.97,1.3,47.41,522.21,2388.06,8137.73,8.4026,0.03,391,2388,100.0,38.8,23.3445
321,518.67,642.17,1592.58,1399.93,14.62,21.61,553.42,2388.09,9050.52,1.3,47.36,521.41,2388.06,8135.71,8.434,0.03,392,2388,100.0,38.97,23.2759
323,518.67,642.75,1583.22,1400.48,14.62,21.61,554.34,2388.06,9055.81,1.3,47.36,521.86,2388.1,8134.36,8.4284,0.03,392,2388,100.0,39.07,23.4266
327,518.67,642.46,1590.79,1405.87,14.62,21.61,554.15,2388.04,9055.6,1.3,47.43,522.26,2388.08,8137.72,8.4207,0.03,391,2388,100.0,38.96,23.4119
331,518.67,642.51,1589.31,1409.54,14.62,21.61,553.41,2388.04,9047.86,1.3,47.43,521.88,2388.11,8135.0,8.4206,0.03,392,2388,100.0,39.1,23.2489
350,518.67,642.83,1597.86,1404.88,14.62,21.61,552.83,2388.1,9054.11,1.3,47.58,521.16,2388.18,8125.47,8.4772,0.03,394,2388,100.0,38.78,23.3032
356,518.67,643.23,1592.94,1421.1,14.62,21.61,552.81,2388.18,9049.61,1.3,47.59,520.65,2388.14,8123.09,8.438,0.03,394,2388,100.0,38.8,23.155
364,518.67,643.34,1597.55,1413.74,14.62,21.61,552.56,2388.18,9044.11,1.3,47.68,521.1,2388.18,8123.21,8.474,0.03,395,2388,100.0,38.76,23.2468
371,518.67,642.83,1595.24,1416.11,14.62,21.61,551.93,2388.23,9043.06,1.3,47.96,520.51,2388.21,8123.99,8.4982,0.03,396,2388,100.0,38.62,23.1658
373,518.67,643.4,1590.33,1431.3,14.62,21.61,551.77,2388.2,9049.53,1.3,48.01,520.35,2388.24,8123.38,8.4768,0.03,396,2388,100.0,38.55,23.1913
382,518.67,643.58,1602.22,1431.34,14.62,21.61,550.78,2388.28,9038.1,1.3,48.14,519.75,2388.25,8123.17,8.5251,0.03,394,2388,100.0,38.54,23.1603
384,518.67,643.87,1603.07,1429.17,14.62,21.61,551.3,2388.3,9040.83,1.3,48.07,519.63,2388.27,8119.39,8.5228,0.03,395,2388,100.0,38.51,23.1345
391,518.67,642.1,1593.3,1408.28,14.62,21.61,553.25,2388.09,9039.07,1.3,47.45,521.24,2388.17,8119.54,8.4473,0.03,394,2388,100.0,38.73,23.2717
393,518.67,642.68,1596.84,1410.45,14.62,21.61,553.36,2388.18,9031.26,1.3,47.54,521.36,2388.13,8119.09,8.4323,0.03,393,2388,100.0,38.88,23.2474
400,518.67,642.9,1595.8,1411.43,14.62,21.61,554.15,2388.13,9042.43,1.3,47.38,521.42,2388.12,8116.92,8.4742,0.03,395,2388,100.0,38.72,23.3178
402,518.67,642.54,1591.81,1409.68,14.62,21.61,553.04,2388.14,9032.21,1.3,47.57,521.19,2388.15,8120.31,8.4843,0.03,393,2388,100.0,38.79,23.3067
425,518.67,643.05,1592.09,1404.86,14.62,21.61,553.56,2388.13,9051.97,1.3,47.59,521.04,2388.16,8124.14,8.4576,0.03,393,2388,100.0,38.79,23.3181
433,518.67,642.24,1596.92,1412.15,14.62,21.61,553.18,2388.16,9044.63,1.3,47.42,520.7,2388.11,8120.37,8.4849,0.03,393,2388,100.0,38.68,23.2634
434,518.67,643.09,1585.66,1413.32,14.62,21.61,553.03,2388.18,9037.6,1.3,47.88,521.72,2388.13,8118.41,8.4541,0.03,393,2388,100.0,39.02,23.2616
436,518.67,641.78,1596.62,1405.44,14.62,21.61,552.29,2388.14,9040.13,1.3,47.84,520.98,2388.15,8120.86,8.4597,0.03,393,2388,100.0,38.74,23.2166
445,518.67,642.9,1586.29,1410.77,14.62,21.61,552.88,2388.18,9038.73,1.3,47.45,521.27,2388.16,8120.67,8.4297,0.03,393,2388,100.0,38.69,23.1739
449,518.67,642.91,1594.68,1410.24,14.62,21.61,552.49,2388.15,9036.76,1.3,47.74,521.55,2388.17,8116.98,8.4665,0.03,394,2388,100.0,38.66,23.3033
455,518.67,643.37,1594.06,1412.35,14.62,21.61,552.54,2388.13,9036.46,1.3,47.59,521.11,2388.18,8118.55,8.4405,0.03,394,2388,100.0,38.75,23.3063
457,518.67,643.24,1588.44,1412.39,14.62,21.61,552.5,2388.21,9033.5,1.3,47.9,520.75,2388.18,8120.42,8.4635,0.03,394,2388,100.0,38.75,23.2746
458,518.67,642.63,1599.75,1410.9,14.62,21.61,553.13,2388.17,9044.3,1.3,47.67,521.4,2388.16,8123.06,8.4432,0.03,393,2388,100.0,38.62,23.2252
460,518.67,642.89,1594.05,1407.62,14.62,21.61,553.14,2388.16,9037.42,1.3,47.61,521.14,2388.17,8122.05,8.4418,0.03,395,2388,100.0,38.67,23.2954
467,518.67,642.2,1592.31,1411.11,14.62,21.61,552.46,2388.13,9040.65,1.3,47.6,521.58,2388.12,8121.37,8.4652,0.03,393,2388,100.0,38.85,23.272
470,518.67,642.85,1595.48,1417.68,14.62,21.61,553.32,2388.15,9038.09,1.3,47.56,520.95,2388.14,8118.23,8.4755,0.03,394,2388,100.0,38.84,23.2966
472,518.67,642.22,1591.85,1411.83,14.62,21.61,552.87,2388.23,9043.31,1.3,47.79,520.82,2388.16,8120.64,8.4453,0.03,395,2388,100.0,38.6,23.2509
476,518.67,642.78,1593.36,1409.92,14.62,21.61,552.95,2388.18,9040.08,1.3,47.57,521.39,2388.21,8120.35,8.4809,0.03,393,2388,100.0,38.62,23.1926
510,518.67,642.76,1595.49,1419.77,14.62,21.61,552.07,2388.29,9037.26,1.3,47.93,520.33,2388.24,8113.76,8.472,0.03,395,2388,100.0,38.72,23.1632
513,518.67,643.66,1597.7,1422.65,14.62,21.61,552.19,2388.25,9029.76,1.3,47.8,519.74,2388.3,8110.67,8.4834,0.03,394,2388,100.0,38.53,23.0563
523,518.67,643.46,1592.67,1426.66,14.62,21.61,551.71,2388.29,9032.21,1.3,48.0,519.97,2388.24,8108.29,8.5102,0.03,395,2388,100.0,38.38,23.0882
524,518.67,643.35,1595.79,1432.82,14.62,21.61,552.1,2388.27,9037.27,1.3,48.23,520.05,2388.26,8107.02,8.5332,0.03,395,2388,100.0,38.42,23.0697
528,518.67,643.87,1591.1,1431.86,14.62,21.61,552.25,2388.27,9031.3,1.3,48.0,519.84,2388.32,8110.24,8.5131,0.03,395,2388,100.0,38.48,23.1027
567,518.67,642.4,1579.95,1408.61,14.62,21.61,554.12,2388.08,9050.85,1.3,47.42,521.99,2388.08,8132.52,8.4036,0.03,392,2388,100.0,38.95,23.2929
569,518.67,641.81,1582.46,1403.85,14.62,21.61,553.44,2388.1,9057.73,1.3,47.35,521.69,2388.09,8137.24,8.3884,0.03,390,2388,100.0,38.96,23.2533
571,518.67,642.67,1586.68,1403.3,14.62,21.61,553.96,2388.05,9053.98,1.3,47.33,522.46,2388.01,8136.71,8.4144,0.03,392,2388,100.0,38.78,23.2855
579,518.67,642.34,1589.63,1397.63,14.62,21.61,553.84,2388.12,9050.91,1.3,47.53,522.25,2388.04,8131.58,8.4292,0.03,391,2388,100.0,38.72,23.3717
589,518.67,642.13,1585.07,1402.13,14.62,21.61,553.97,2388.12,9052.92,1.3,47.28,522.16,2388.04,8128.46,8.4337,0.03,392,2388,100.0,38.79,23.4265
592,518.67,641.92,1585.26,1401.11,14.62,21.61,554.69,2388.06,9060.77,1.3,47.32,521.54,2388.08,8134.98,8.425,0.03,391,2388,100.0,39.01,23.4764
593,518.67,642.27,1587.63,1403.26,14.62,21.61,554.14,2388.08,9047.37,1.3,47.36,521.85,2388.09,8133.54,8.4206,0.03,393,2388,100.0,38.78,23.2634
602,518.67,642.25,1587.61,1403.27,14.62,21.61,554.08,2388.09,9055.95,1.3,47.51,521.71,2388.1,8133.78,8.3977,0.03,394,2388,100.0,38.88,23.3571
613,518.67,642.43,1585.83,1406.98,14.62,21.61,553.49,2388.11,9057.04,1.3,47.58,521.89,2388.07,8132.22,8.4374,0.03,391,2388,100.0,38.76,23.2288
619,518.67,642.52,1584.64,1412.69,14.62,21.61,553.72,2388.06,9058.89,1.3,47.7,521.2,2388.1,8142.03,8.3904,0.03,393,2388,100.0,38.88,23.2665
623,518.67,642.27,1588.62,1404.42,14.62,21.61,553.64,2388.09,9054.54,1.3,47.32,521.67,2388.13,8136.13,8.4404,0.03,392,2388,100.0,38.83,23.3437
625,518.67,642.68,1594.15,1411.9,14.62,21.61,553.44,2388.14,9058.79,1.3,47.55,521.48,2388.14,8137.93,8.4348,0.03,394,2388,100.0,38.86,23.2878
634,518.67,642.86,1599.59,1403.09,14.62,21.61,553.83,2388.1,9058.8,1.3,47.35,521.74,2388.09,8140.73,8.4195,0.03,394,2388,100.0,39.06,23.4084
645,518.67,643.3,1589.99,1405.93,14.62,21.61,552.93,2388.11,9054.5,1.3,47.58,521.29,2388.11,8138.14,8.4974,0.03,393,2388,100.0,38.86,23.2637
650,518.67,642.92,1593.49,1410.73,14.62,21.61,552.98,2388.12,9062.23,1.3,47.57,520.95,2388.13,8145.3,8.4077,0.03,394,2388,100.0,38.74,23.2424
652,518.67,643.31,1588.33,1413.26,14.62,21.61,553.82,2388.1,9058.89,1.3,47.51,520.73,2388.13,8140.42,8.4217,0.03,393,2388,100.0,38.69,23.297
654,518.67,642.85,1599.31,1408.09,14.62,21.61,553.96,2388.12,9064.27,1.3,47.53,521.03,2388.1,8140.18,8.4877,0.03,394,2388,100.0,38.82,23.2505
659,518.67,643.41,1592.08,1413.87,14.62,21.61,552.69,2388.16,9071.71,1.3,47.7,521.08,2388.11,8143.48,8.4784,0.03,394,2388,100.0,38.71,23.1893
661,518.67,643.3,1599.3,1406.6,14.62,21.61,552.92,2388.15,9065.61,1.3,47.89,521.33,2388.11,8143.49,8.4367,0.03,394,2388,100.0,38.77,23.2633
663,518.67,643.11,1590.51,1414.5,14.62,21.61,552.96,2388.19,9069.99,1.3,47.81,521.15,2388.14,8144.57,8.4709,0.03,395,2388,100.0,38.72,23.1807
664,518.67,643.23,1593.7,1412.36,14.62,21.61,552.77,2388.17,9071.73,1.3,47.76,521.01,2388.17,8144.01,8.4883,0.03,395,2388,100.0,38.59,23.2493
670,518.67,642.69,1600.37,1421.57,14.62,21.61,552.09,2388.16,9073.45,1.3,47.72,521.55,2388.11,8152.29,8.4898,0.03,395,2388,100.0,38.76,23.2467
671,518.67,642.95,1600.32,1411.38,14.62,21.61,551.98,2388.16,9064.41,1.3,47.96,520.59,2388.21,8147.52,8.5038,0.03,393,2388,100.0,38.63,23.1836
675,518.67,643.36,1589.77,1415.39,14.62,21.61,552.25,2388.13,9083.14,1.3,47.85,520.88,2388.2,8150.41,8.4966,0.03,395,2388,100.0,38.51,23.1499
680,518.67,643.72,1599.64,1411.91,14.62,21.61,552.88,2388.19,9086.59,1.3,47.84,519.97,2388.17,8154.15,8.4702,0.03,395,2388,100.0,38.56,23.2335
686,518.67,643.52,1603.4,1425.53,14.62,21.61,551.0,2388.23,9089.51,1.3,48.2,519.97,2388.16,8155.56,8.5188,0.03,396,2388,100.0,38.4,23.0512
691,518.67,643.7,1602.78,1435.2,14.62,21.61,551.67,2388.22,9089.92,1.3,48.37,520.21,2388.19,8163.64,8.5581,0.03,394,2388,100.0,38.36,23.0505
707,518.67,642.59,1588.41,1398.57,14.62,21.61,553.74,2388.02,9048.93,1.3,47.28,521.72,2388.11,8127.41,8.4103,0.03,392,2388,100.0,38.92,23.3419
713,518.67,642.66,1585.59,1405.37,14.62,21.61,553.79,2388.05,9046.37,1.3,47.35,521.55,2388.08,8130.29,8.437,0.03,391,2388,100.0,38.89,23.1408
717,518.67,642.19,1592.58,1397.37,14.62,21.61,554.69,2388.05,9040.39,1.3,47.41,522.16,2388.06,8126.77,8.4297,0.03,392,2388,100.0,39.0,23.3753
721,518.67,642.05,1596.55,1398.9,14.62,21.61,554.73,2388.06,9047.61,1.3,47.26,522.7,2388.08,8132.55,8.3957,0.03,392,2388,100.0,39.15,23.3572
722,518.67,642.64,1585.24,1399.04,14.62,21.61,554.67,2388.06,9046.69,1.3,47.4,521.69,2388.05,8131.51,8.3819,0.03,393,2388,100.0,38.98,23.3404
731,518.67,641.61,1591.25,1404.02,14.62,21.61,554.61,2388.08,9051.2,1.3,47.36,522.38,2388.06,8126.63,8.4146,0.03,393,2388,100.0,38.89,23.3083
742,518.67,642.65,1587.09,1402.96,14.62,21.61,553.79,2388.05,9053.89,1.3,47.31,521.77,2388.05,8128.51,8.4502,0.03,392,2388,100.0,38.99,23.3937
743,518.67,641.86,1582.74,1395.89,14.62,21.61,553.74,2388.05,9048.8,1.3,47.41,521.98,2388.06,8131.32,8.4071,0.03,390,2388,100.0,38.97,23.3747
755,518.67,642.78,1584.43,1398.06,14.62,21.61,553.84,2388.02,9051.81,1.3,47.24,521.73,2388.07,8132.02,8.4246,0.03,393,2388,100.0,39.13,23.3916
766,518.67,643.16,1599.58,1410.24,14.62,21.61,554.19,2388.08,9056.12,1.3,47.27,521.93,2388.02,8134.68,8.4233,0.03,392,2388,100.0,38.92,23.3479
772,518.67,642.62,1587.09,1406.12,14.62,21.61,553.66,2388.07,9052.69,1.3,47.2,521.85,2388.07,8134.25,8.3929,0.03,393,2388,100.0,38.94,23.3516
773,518.67,642.37,1588.52,1397.71,14.62,21.61,554.58,2388.07,9041.37,1.3,47.41,521.51,2388.1,8129.07,8.4015,0.03,395,2388,100.0,38.8,23.2965
778,518.67,642.53,1584.81,1395.51,14.62,21.61,553.76,2388.1,9046.72,1.3,47.31,522.15,2388.07,8130.14,8.3547,0.03,391,2388,100.0,38.99,23.4492
786,518.67,642.64,1591.45,1399.8,14.62,21.61,553.84,2388.07,9050.36,1.3,47.37,521.26,2388.04,8133.8,8.4098,0.03,391,2388,100.0,38.87,23.3882
790,518.67,642.52,1583.93,1408.54,14.62,21.61,553.93,2388.01,9054.15,1.3,47.32,522.32,2388.09,8133.97,8.3967,0.03,392,2388,100.0,39.01,23.2531
807,518.67,642.59,1593.66,1406.26,14.62,21.61,553.86,2388.04,9051.92,1.3,47.37,521.78,2388.12,8128.92,8.4268,0.03,390,2388,100.0,38.87,23.4238
823,518.67,642.59,1581.1,1410.01,14.62,21.61,553.49,2388.08,9053.74,1.3,47.18,521.6,2388.08,8134.78,8.4308,0.03,391,2388,100.0,38.77,23.379
827,518.67,642.37,1587.05,1392.89,14.62,21.61,554.0,2388.05,9060.95,1.3,47.46,522.17,2388.07,8130.95,8.4589,0.03,391,2388,100.0,38.93,23.3981
832,518.67,642.25,1580.1,1405.61,14.62,21.61,554.17,2388.03,9052.48,1.3,47.43,521.23,2388.11,8132.23,8.4053,0.03,393,2388,100.0,39.03,23.352
849,518.67,642.03,1578.77,1402.08,14.62,21.61,553.82,2388.08,9057.03,1.3,47.26,521.8,2388.09,8135.16,8.4183,0.03,392,2388,100.0,38.82,23.351
857,518.67,642.49,1583.93,1408.96,14.62,21.61,554.13,2388.08,9049.73,1.3,47.53,522.01,2388.1,8133.9,8.4372,0.03,392,2388,100.0,38.86,23.3214
860,518.67,642.68,1588.35,1407.01,14.62,21.61,553.42,2388.11,9054.87,1.3,47.46,521.81,2388.08,8136.1,8.4568,0.03,392,2388,100.0,38.86,23.47
866,518.67,642.56,1582.12,1406.53,14.62,21.61,553.32,2388.1,9056.91,1.3,47.38,521.66,2388.08,8134.08,8.4124,0.03,393,2388,100.0,38.94,23.3212
886,518.67,642.34,1584.05,1409.2,14.62,21.61,553.21,2388.11,9054.88,1.3,47.1,521.43,2388.12,8132.18,8.4457,0.03,395,2388,100.0,38.76,23.3213
908,518.67,642.41,1590.0,1410.46,14.62,21.6,554.35,2388.1,9062.44,1.3,47.6,522.23,2388.12,8134.09,8.4375,0.03,393,2388,100.0,38.7,23.3226
918,518.67,642.56,1598.01,1405.83,14.62,21.61,553.54,2388.12,9061.33,1.3,47.46,521.64,2388.11,8142.75,8.4054,0.03,392,2388,100.0,38.93,23.3354
924,518.67,643.07,1579.06,1410.42,14.62,21.61,553.93,2388.1,9056.05,1.3,47.54,521.65,2388.05,8141.01,8.4263,0.03,393,2388,100.0,38.88,23.2014
929,518.67,642.47,1588.21,1402.5,14.62,21.61,553.91,2388.07,9057.75,1.3,47.65,521.71,2388.11,8141.19,8.4628,0.03,394,2388,100.0,38.87,23.2829
930,518.67,642.73,1590.42,1407.73,14.62,21.61,553.23,2388.09,9072.36,1.3,47.61,521.54,2388.05,8142.85,8.4647,0.03,392,2388,100.0,38.84,23.315
939,518.67,642.65,1585.86,1410.81,14.62,21.61,553.25,2388.07,9064.76,1.3,47.57,521.7,2388.09,8139.18,8.409,0.03,393,2388,100.0,38.77,23.2051
952,518.67,642.88,1593.0,1411.64,14.62,21.61,553.58,2388.08,9066.81,1.3,47.49,521.54,2388.06,8141.39,8.4061,0.03,393,2388,100.0,38.72,23.2614
956,518.67,642.81,1587.46,1415.79,14.62,21.61,554.24,2388.08,9068.13,1.3,47.52,521.27,2388.1,8144.9,8.4327,0.03,395,2388,100.0,38.56,23.2586
958,518.67,642.47,1593.05,1407.34,14.62,21.61,554.11,2388.09,9069.0,1.3,47.71,520.87,2388.1,8147.52,8.4739,0.03,392,2388,100.0,38.95,23.3168
966,518.67,642.91,1592.25,1408.11,14.62,21.61,553.25,2388.12,9065.55,1.3,47.69,521.42,2388.13,8150.56,8.4236,0.03,394,2388,100.0,38.73,23.2623
969,518.67,642.63,1591.38,1416.67,14.62,21.61,552.55,2388.1,9074.38,1.3,47.67,521.76,2388.12,8151.86,8.4575,0.03,393,2388,100.0,38.63,23.2683
970,518.67,642.82,1593.31,1421.19,14.62,21.61,552.47,2388.13,9069.37,1.3,47.6,520.63,2388.18,8146.99,8.4075,0.03,395,2388,100.0,38.56,23.1702
975,518.67,643.11,1598.12,1411.62,14.62,21.61,552.88,2388.12,9072.65,1.3,47.62,520.75,2388.1,8152.28,8.4791,0.03,392,2388,100.0,38.74,23.3471
976,518.67,643.19,1593.91,1413.16,14.62,21.61,552.77,2388.11,9074.44,1.3,47.51,521.47,2388.14,8145.44,8.4836,0.03,394,2388,100.0,38.54,23.2252
978,518.67,642.9,1589.77,1414.55,14.62,21.61,553.35,2388.15,9067.97,1.3,47.51,521.22,2388.13,8153.1,8.457,0.03,395,2388,100.0,38.73,23.2229
982,518.67,643.2,1592.88,1418.86,14.62,21.61,552.78,2388.15,9072.85,1.3,47.84,521.01,2388.11,8149.93,8.4801,0.03,394,2388,100.0,38.76,23.2237
991,518.67,643.67,1600.77,1418.36,14.62,21.61,552.61,2388.15,9074.55,1.3,47.8,520.59,2388.14,8154.18,8.4766,0.03,394,2388,100.0,38.85,23.2316
992,518.67,642.77,1592.09,1416.41,14.62,21.61,552.29,2388.12,9078.46,1.3,47.58,520.23,2388.09,8153.49,8.4553,0.03,394,2388,100.0,38.62,23.2231
994,518.67,643.34,1596.67,1412.53,14.62,21.61,552.46,2388.13,9080.49,1.3,47.7,520.64,2388.12,8149.37,8.4801,0.03,394,2388,100.0,38.82,23.1861
